,User Name,Followers,Tweet,Polarity
630,Namal Rajapaksa,331876,salmaanfaris95 i understand amp empathise with this situation that we have been fighting since the beginning of,0
5771,FOX26Houston,326481,the hospital numbers are going one direction and the community numbers are going another direction,0
1961,City of Boston,326332,all bcyfcenters visitors must follow covid19 health regulations visitors will be screened before entry and face,0
1302,Sputnik,326091,opinion expert urges us government to step in with resources as california tops covid19 case charts,0
7255,Mayor Marty Walsh,324276,today is the last day for the pop up covid19 testing site at bcyfcenters jackson mann community center located at,-0.05
6670,Governor Phil Murphy,321325,sadly we must report an additional confirmed 10 covid19 deaths bringing our confirmed covid 19 death total to 13,0.075
8171,Carte Blanche,319262,millions of people face financial uncertainty as covid19 rages on but think twice before you sign up for any cred,0
1973,Dr. Dena Grayson,314262,the us has its 2nd highest number of new coronavirus cases 75k and gt 1 000 covid19 deaths 1 178 for the 4th,0.068181818
7936,Tamara McCleary,308364,covid19 home working leads to cybersecurity hiring spree futureofwork jobs pandemic,0
5800,City of Houston,307899,today s covid19 city of houston update,0
9297,World Bank South Asia,305081,a new worldbank project in pakistan will address school disruptions due to covid19 by accelerating virtual and d,0.005681818
1565,Central Railway,303906,railways gets into a flap over crowd control in phase 1 tcs will be given scanners phase 2 will see flap gate,0
5675,WCVB-TV Boston,303651,we re watching closely the rolling average of covid19 positive test rate as it creeps upward today health officia,0.038636364
6086,Child Rights and You,298016,children are likely to be one of the biggest unseen victims of covid19 pandemic click on the link to read the f,0
6961,Sen. Lisa Murkowski,294726,to help mitigate the spread of covid19 those who are traveling through canada to alaska for non discretionary pur,0
6598,Traffic Scotland,293535,planning to travel to the north west of england due to a spike in covid19 cases there are local restrictions in,-0.0625
1718,Refugees International,292941,as covid 19 spreads across africa s sahel region it is multiplying the threats to the region s most vulnerable po,0
7954,Carl Zimmer,292018,mike pence in wsj on june 16 covid19 data as of today,0
5246,Apple News,288519,could covid19 disappear naturally if enough people are exposed to the virus scientists are reaching a consensus o,0
4169,Arizona State University,288200,when covid19 started students in asu s luminositylab identified ways they could leverage their skills to positiv,0
5546,Eric Topol,287704,global covid19 deaths on the rise 1 south africa 2 colombia 3 united states by log scale slope indicating ra,0
465,Fadzayi Mahere,285891,is this still about covid19,0
308,Arab News,285819,global trade hit by new and accumulated import restrictions just as economies need to rebuild in the covid19 crisi,0.068181818
5392,وزارة الصحة - عُمان,280975,announcement pausing the announcement of cases registered with covid19 in the sultanate,0
4400,News from Science,280235,enrollment in clinical studies in the u s is on the rebound after disruptions caused by the covid19 pandemic acc,0
